specimen,PD_A,PD_B,CS_A,CS_B
152-24__rec_align_merged.mrk.json,0.023574349168931953,0.02392370887095997,201.11399397706143,201.1340692698923
152-25__rec_align_merged.mrk.json,0.02010503057304454,0.020678868981313724,195.46364226993776,195.48028172728016
152-26__rec_align_merged.mrk.json,0.025468612690377274,0.02583108783421862,205.1831365290167,205.20774913536144
152-27__rec_align_merged.mrk.json,0.02640663524320644,0.026633437937905898,212.14850015338752,212.12489644328122
152-28__rec_align_merged.mrk.json,0.02109806856338775,0.02146155077867249,199.47084005105117,199.4637683882821
152-29__rec_align_merged.mrk.json,0.02166565659987348,0.022012424105603817,212.47773475249744,212.48473490962866
152-30__rec_align_merged.mrk.json,0.01847233768249235,0.01879379613527493,207.1968070612487,207.20836622827258
152-31__rec_align_merged.mrk.json,0.021215509013261028,0.021751829914831145,198.9163167591471,198.93376208593642
152-32__rec_align_merged.mrk.json,0.02027307414496059,0.0206028527278349,199.29612636657828,199.31044033327092
152-33__rec_align_merged.mrk.json,0.019099669845047695,0.019453002364073196,194.58843810617194,194.6004126389619
152-34__rec_align_merged.mrk.json,0.01626994736227915,0.016661772863180265,198.77406391476293,198.7829642435815
152-35__rec_align_merged.mrk.json,0.017027865813585105,0.017510714983639136,204.70154167189324,204.7181859100276
152-36__rec_align_merged.mrk.json,0.02060749901228823,0.02105940976061786,192.81837485978647,192.7964167277211
152-37__rec_align_merged.mrk.json,0.017347743670697198,0.017669531737276537,195.34755405889038,195.3449300479428
152-38__rec_align_merged.mrk.json,0.01947998335769555,0.019697913719912145,199.97553113952833,199.96856535597453
152-39__rec_align_merged.mrk.json,0.01625260423208738,0.016655601769612522,198.1051405718455,198.0891135577989
152-40__rec_align_merged.mrk.json,0.01944161611505288,0.019799006962700805,194.52176960788807,194.54199804412394
152-41__rec_align_merged.mrk.json,0.01965165464695617,0.020082575381476144,201.7242107977869,201.7383559422792
152-42__rec_align_merged.mrk.json,0.014897757367796948,0.01551902703911032,197.8276671100813,197.83930622430213
152-43__rec_align_merged.mrk.json,0.015375963864804339,0.01586509270257232,197.8982408879768,197.91722959713294
152-44__rec_align_merged.mrk.json,0.01880775557364908,0.01922605318576754,199.973316547943,199.98118906313732
152-45__rec_align_merged.mrk.json,0.020017253037365585,0.020421379166038825,195.40917990938647,195.45565549658772
152-46__rec_align_merged.mrk.json,0.014309856046562382,0.014941057432693201,198.4990301339943,198.4981455654931
152-47__rec_align_merged.mrk.json,0.02814252625405116,0.02838895203497283,191.14030483716095,191.14483961898955
152-48__rec_align_merged.mrk.json,0.019200700390592126,0.019558885682600377,201.72702648585914,201.72721216197303
152-49__rec_align_merged.mrk.json,0.018852649517218524,0.019410585806515442,197.51647984635875,197.52420027597958
152-50__rec_align_merged.mrk.json,0.016956222332535426,0.017365726555667503,197.68102480733478,197.7006209095773
152-51__rec_align_merged.mrk.json,0.015255428901961725,0.01580415040532418,198.54589290679888,198.54951896226893
