specimen,PD_A_joint,PD_B_joint,delta_PDB_minus_PDA,pairwise_ProcD_A_vs_B
152-24__rec_align_merged.mrk.json,0.023576122905473475,0.023922230496653037,0.0003461075911795619,0.004308683666365412
152-25__rec_align_merged.mrk.json,0.0201060585491791,0.02067908693515634,0.0005730283859772395,0.004725859319976065
152-26__rec_align_merged.mrk.json,0.025469906171503628,0.025831499611779673,0.0003615934402760451,0.004567423798620734
152-27__rec_align_merged.mrk.json,0.026406688420886552,0.026633940010463566,0.00022725158957701344,0.004225247962130461
152-28__rec_align_merged.mrk.json,0.02109876226356121,0.0214622693675777,0.0003635071040164889,0.004608718491342167
152-29__rec_align_merged.mrk.json,0.021668425454717144,0.022010450805149746,0.00034202535043260235,0.003997154722949805
152-30__rec_align_merged.mrk.json,0.01846964459400415,0.018797158676926162,0.000327514082922014,0.004103939508598523
152-31__rec_align_merged.mrk.json,0.021217401254750523,0.02174998526819271,0.0005325840134421875,0.004131575426409418
152-32__rec_align_merged.mrk.json,0.020275310638168238,0.020601020211297238,0.00032570957312899954,0.004087731284948084
152-33__rec_align_merged.mrk.json,0.019098860415731167,0.019454513372417007,0.00035565295668583963,0.004181154225385828
152-34__rec_align_merged.mrk.json,0.016272120690073527,0.01666035752529966,0.00038823683522613145,0.004500006111811474
152-35__rec_align_merged.mrk.json,0.01702941027907634,0.01750950778607797,0.0004800975070016304,0.004070617287111699
152-36__rec_align_merged.mrk.json,0.02060954968305,0.021058338728699465,0.0004487890456494649,0.004318120308385843
152-37__rec_align_merged.mrk.json,0.01734881308920642,0.01766981053645782,0.00032099744725139906,0.00434438608500757
152-38__rec_align_merged.mrk.json,0.01947957082537416,0.019698453798324373,0.00021888297295021356,0.0042606221430312695
152-39__rec_align_merged.mrk.json,0.016253099737924145,0.01665654171320139,0.0004034419752772453,0.004203555929761413
152-40__rec_align_merged.mrk.json,0.019441762364358187,0.019799547465503633,0.00035778510114544554,0.004580743307622779
152-41__rec_align_merged.mrk.json,0.01965069925473617,0.020083339564119895,0.000432640309383725,0.0040566929995928345
152-42__rec_align_merged.mrk.json,0.014901330342405063,0.015517594678668405,0.0006162643362633419,0.004824547106460143
152-43__rec_align_merged.mrk.json,0.015377561837321859,0.015864737405382263,0.0004871755680604037,0.004453926016508866
152-44__rec_align_merged.mrk.json,0.018806767765032553,0.019227400267538716,0.0004206325025061623,0.004242656332269395
152-45__rec_align_merged.mrk.json,0.020014517058148582,0.020426575109144668,0.0004120580509960857,0.0044719673475439444
152-46__rec_align_merged.mrk.json,0.014310753669389203,0.014940684633524468,0.0006299309641352654,0.004278324680603125
152-47__rec_align_merged.mrk.json,0.028144661992709943,0.02838799823327582,0.0002433362405658765,0.004689151153241356
152-48__rec_align_merged.mrk.json,0.019203391193609764,0.019557679726070126,0.00035428853246036174,0.0043487538006757665
152-49__rec_align_merged.mrk.json,0.01885330224688036,0.019410542626593426,0.0005572403797130671,0.004466092633168359
152-50__rec_align_merged.mrk.json,0.01695778956749617,0.017365870512703357,0.00040808094520718846,0.00440823640733908
152-51__rec_align_merged.mrk.json,0.01525400626405732,0.01580737438562462,0.0005533681215673016,0.004202786117061189
152-52__rec_align_merged.mrk.json,0.022574954560952817,0.022993294732985795,0.0004183401720329778,0.004636288319421438
152_10_rec_align_merged.mrk.json,0.0170576593123022,0.01752521730474805,0.0004675579924458481,0.004196350048836644
152_11_rec_align_merged.mrk.json,0.020642736385223574,0.02098433227790814,0.00034159589268456525,0.004087358023789733
152_12_rec_align_merged.mrk.json,0.019932517402117995,0.02022655416856313,0.00029403676644513405,0.004371542685077183
152_13_rec_align_merged.mrk.json,0.020647673862272203,0.020982810461242427,0.0003351365989702239,0.004464892449184592
152_14_rec_align_merged.mrk.json,0.021352904717286857,0.021564630473846005,0.00021172575655914808,0.004095313610689416
152_15_rec_align_merged.mrk.json,0.01816074534943723,0.01855026141154483,0.0003895160621075998,0.00418006383711786
152_16_rec_align_merged.mrk.json,0.017566321551670996,0.017932858983117535,0.00036653743144653833,0.0041052810671241375
152_17_rec_align_merged.mrk.json,0.013698493439403275,0.014298205377870344,0.000599711938467069,0.004474763277145516
152_18_rec_align_merged.mrk.json,0.022302072643180383,0.02261225077458179,0.00031017813140140835,0.004308394545858262
152_19_rec_align_merged.mrk.json,0.02189610142673861,0.02226617254504924,0.00037007111831062825,0.004129544543386614
152_20_rec_align_merged.mrk.json,0.02392267569938535,0.024112763503988707,0.00019008780460335814,0.004080732357299483
152_21_rec_align_merged.mrk.json,0.017658401748510997,0.018058428822613444,0.0004000270741024471,0.004517864073423684
152_22_rec_align_merged.mrk.json,0.016894039096321173,0.01737390428897615,0.00047986519265497823,0.00442526871982746
152_23_rec_align_merged.mrk.json,0.024750856473387157,0.025033453589222564,0.00028259711583540625,0.004178778671779446
152_9_rec_align_merged.mrk.json,0.019542348907914592,0.019922020022087723,0.00037967111417313085,0.004259703405300743
155-1__rec_align_merged.mrk.json,0.017820023315172656,0.01829355127316579,0.0004735279579931341,0.004425029783100293
155-25__rec_align_merged.mrk.json,0.01776729977669218,0.01827203116255951,0.000504731385867329,0.004519469106952293
155-29__rec_align_merged.mrk.json,0.017564818342031694,0.01781106766627448,0.00024624932424278587,0.004290567237560791
155-30__rec_align_merged.mrk.json,0.017122709650666992,0.017575729286974612,0.00045301963630762013,0.004639480747832898
155-31__rec_align_merged.mrk.json,0.018263591679568168,0.018610912923030663,0.00034732124346249435,0.004091611502649061
155-32__rec_align_merged.mrk.json,0.014788268785692426,0.015281527773151655,0.0004932589874592289,0.0043435643102090644
155-33__rec_align_merged.mrk.json,0.017748159505134645,0.018208546570567825,0.0004603870654331793,0.004203640348494675
155-34__rec_align_merged.mrk.json,0.0178476224140922,0.018259251353411558,0.0004116289393193591,0.0041788568627956985
155-35__rec_align_merged.mrk.json,0.021176780096955547,0.021442561974918894,0.0002657818779633475,0.003974829240411171
155-36__rec_align_merged.mrk.json,0.017997707967386287,0.01840768714721562,0.00040997917982933327,0.004334337596814887
155-37__rec_align_merged.mrk.json,0.018923834427542672,0.019131980718016747,0.00020814629047407468,0.004081442526426323
155-38__rec_align_merged.mrk.json,0.01933920122536782,0.01969575985319589,0.00035655862782807066,0.004136735524432099
155-39__rec_align_merged.mrk.json,0.02043724473023361,0.020901107283259474,0.0004638625530258636,0.004203520891094771
155-40__rec_align_merged.mrk.json,0.01824044017805587,0.01867410630846669,0.00043366613041082025,0.004609968509943326
155-41__rec_align_merged.mrk.json,0.015417198351387912,0.015849479998742748,0.00043228164735483604,0.004189313661153661
155-42__rec_align_merged.mrk.json,0.014623552102952806,0.015201639439456646,0.0005780873365038401,0.004270723194044936
155-43__rec_align_merged.mrk.json,0.014897326520401466,0.015301474782860836,0.0004041482624593702,0.0042751917285505
155_12_rec_align_merged.mrk.json,0.017605585090131638,0.018098663595570483,0.0004930785054388445,0.0043072821162217344
155_2__rec_align_merged.mrk.json,0.016983322371033914,0.017461953967928996,0.00047863159689508217,0.00428395545678682
155_3__rec_align_merged.mrk.json,0.01701553695533245,0.017426893290135456,0.0004113563348030064,0.004009188012682202
155_4__rec_align_merged.mrk.json,0.018308117518299756,0.018513223451337962,0.0002051059330382063,0.003939606461174918
155_5__rec_align_merged.mrk.json,0.0219316088078093,0.02226628717848959,0.00033467837068029,0.004378614780607453
155_6__rec_align_merged.mrk.json,0.017152747665770306,0.017727408423056836,0.0005746607572865298,0.004359992562672856
155_7__rec_align_merged.mrk.json,0.017818550061798662,0.018259032023324018,0.0004404819615253554,0.004181732749365224
155_8__rec_align_merged.mrk.json,0.016640247224748973,0.017152255051519124,0.0005120078267701507,0.00416025499574443
155_9__rec_align_merged.mrk.json,0.01710854524388672,0.017544960421131343,0.00043641517724462425,0.004245709664171741
156-1__rec_align_merged.mrk.json,0.029090293901349994,0.029568844754934157,0.0004785508535841629,0.005119715233857046
156-20__rec_align_merged.mrk.json,0.016527059288660946,0.016950048689070216,0.00042298940040927033,0.004376557948137796
156-21__rec_align_merged.mrk.json,0.012011793986993122,0.012710040364210397,0.0006982463772172744,0.004305206600922607
156-22__rec_align_merged.mrk.json,0.01985284425940477,0.02016352733461388,0.00031068307520910887,0.004323830850141396
156-23__rec_align_merged.mrk.json,0.021361487615086168,0.021645466482509895,0.0002839788674237273,0.004512460527693838
156-24__rec_align_merged.mrk.json,0.02177964203365109,0.022035545872166714,0.0002559038385156233,0.004049676236338629
156-25__rec_align_merged.mrk.json,0.018228001213587232,0.018626469301461814,0.00039846808787458166,0.004325307047946828
156-26__rec_align_merged.mrk.json,0.01771344289992462,0.018043927368232442,0.000330484468307822,0.004152032035286613
156-27__rec_align_merged.mrk.json,0.01747731054192163,0.017849529200389354,0.00037221865846772534,0.0041616441495285
156-2__rec_align_merged.mrk.json,0.01571115141448405,0.016181716223138173,0.00047056480865412254,0.004295418854564225
156-3__rec_align_merged.mrk.json,0.01735259729756973,0.01782826088837308,0.0004756635908033484,0.004497249560299838
156-4__rec_align_merged.mrk.json,0.020176126966426584,0.020572836297063753,0.000396709330637169,0.004358480138499643
156-5__rec_align_merged.mrk.json,0.01636003132351667,0.016802878552607706,0.0004428472290910375,0.004425148953859554
156-6__rec_align_merged.mrk.json,0.016419422296579552,0.016958194145172873,0.000538771848593321,0.004471818833730621
156-7__rec_align_merged.mrk.json,0.015694816145607332,0.016186559007908215,0.0004917428623008833,0.004423138693956439
156-8__rec_align_merged.mrk.json,0.01832107796777462,0.018746727272168067,0.0004256493043934481,0.004267475348365938
156-9__rec_align_merged.mrk.json,0.020480293143858713,0.020920532251281036,0.00044023910742232303,0.00437976884045376
156_10__rec_align_merged.mrk.json,0.014346544498430105,0.014893993957194885,0.0005474494587647798,0.004432904175186602
156_11__rec_align_merged.mrk.json,0.018216681514459345,0.018729803987416086,0.000513122472956741,0.004142408312923867
156_12__rec_align_merged.mrk.json,0.018489285180024108,0.018721109958237923,0.00023182477821381484,0.004492352551530256
156_13__rec_align_merged.mrk.json,0.020643517500006734,0.02102290146944105,0.00037938396943431457,0.0042986580056389515
156_14__rec_align_merged.mrk.json,0.015368433262718754,0.015843196913987112,0.00047476365126835826,0.004174815992091603
156_15__rec_align_merged.mrk.json,0.02070235487678378,0.02102783478038167,0.000325479903597891,0.0046182324606530035
156_16__rec_align_merged.mrk.json,0.018643344901406844,0.01921328009348826,0.0005699351920814173,0.004478898082121203
156_17__rec_align_merged.mrk.json,0.018872168082073676,0.019338660260311374,0.0004664921782376978,0.004411571259429457
156_18__rec_align_merged.mrk.json,0.021266652570211264,0.021659129455909944,0.0003924768856986803,0.0044928751756171765
156_19__rec_align_merged.mrk.json,0.01982272508342812,0.020225902667297284,0.00040317758386916244,0.004286341790961723
157-15__rec_align_merged.mrk.json,0.014682656914128315,0.015154194865152454,0.00047153795102413895,0.004213136985621202
157-16__rec_align_merged.mrk.json,0.01941540364404443,0.01980616313724364,0.0003907594931992116,0.004376747564558129
157-29__rec_align_merged.mrk.json,0.023232860624797767,0.023585383792155284,0.00035252316735751715,0.004786554509110367
157-30__rec_align_merged.mrk.json,0.020970189419322775,0.021336688844864487,0.0003664994255417123,0.004102374591432416
157-31__rec_align_merged.mrk.json,0.01883243276553547,0.01928250490215351,0.0004500721366180391,0.004569153600070895
157-32__rec_align_merged.mrk.json,0.019152304504122107,0.019610509670528794,0.00045820516640668676,0.004204687077211315
157-33__rec_align_merged.mrk.json,0.02015510064287884,0.02056482266441682,0.000409722021537981,0.004512641303818659
157-34__rec_align_merged.mrk.json,0.015181822153307137,0.01573887898907539,0.0005570568357682517,0.004404759442695552
157-35__rec_align_merged.mrk.json,0.04215789415630618,0.042325939158296126,0.00016804500198994848,0.004902364368645438
157-36__rec_align_merged.mrk.json,0.01695079866686456,0.0173875570032987,0.00043675833643413986,0.004042035722261355
157-37__rec_align_merged.mrk.json,0.02054433738360869,0.02096521866302359,0.00042088127941490236,0.004208689428840934
157-38__rec_align_merged.mrk.json,0.020556312270140112,0.020918538471137695,0.0003622262009975834,0.004393614707545524
157_13_rec_align_merged.mrk.json,0.014139891259230429,0.014518303668566487,0.00037841240933605795,0.004285823609891572
157_14_rec_align_merged.mrk.json,0.017966481499127922,0.01844263302789034,0.00047615152876241684,0.004412512780137152
157_17__rec_align_merged.mrk.json,0.017546001681062254,0.017956959839307948,0.0004109581582456938,0.004241449442314933
157_18_rec_align_merged.mrk.json,0.017170247129863557,0.017498257429976592,0.0003280103001130352,0.0042952729403668115
157_19__rec_align_merged.mrk.json,0.015577302200390549,0.016173944346584167,0.0005966421461936176,0.00451771549593483
157_20_rec_align_merged.mrk.json,0.01713448349139474,0.01752412757481857,0.00038964408342383183,0.004167773068757078
157_21__rec_align_merged.mrk.json,0.01994248488906121,0.020289904650038534,0.0003474197609773244,0.004209692362112212
157_22__rec_align_merged.mrk.json,0.016724250058900783,0.017249764924756703,0.0005255148658559194,0.004382792251859043
157_23__rec_align_merged.mrk.json,0.017921622111334558,0.018313207483525717,0.0003915853721911597,0.004543226085872886
157_24_rec_align_merged.mrk.json,0.022082995088694254,0.022410908690690436,0.0003279136019961812,0.004271817838771403
157_25_rec_align_merged.mrk.json,0.020918645914226822,0.021276451631252066,0.00035780571702524397,0.004112224090468149
157_26_rec_align_merged.mrk.json,0.01872302420732159,0.019236165336064884,0.0005131411287432955,0.0043722206091697715
157_27_rec_align_merged.mrk.json,0.01795456085588597,0.018289527853041825,0.00033496699715585346,0.004330936719942164
157_28_rec_align_merged.mrk.json,0.018725752650947218,0.019115201540818645,0.0003894488898714271,0.004291825885032059
